,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:53 PM,82ʡF,71ʡF,69ʡ%,S,10ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Fair
1,12:53 AM,80ʡF,71ʡF,74ʡ%,S,10ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Fair
2,1:53 AM,79ʡF,72ʡF,79ʡ%,S,9ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Fair
3,2:53 AM,77ʡF,72ʡF,84ʡ%,S,7ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Fair
4,3:53 AM,77ʡF,73ʡF,88ʡ%,S,7ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Fair
5,4:53 AM,76ʡF,74ʡF,94ʡ%,SSW,6ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Partly Cloudy
6,5:08 AM,77ʡF,74ʡF,90ʡ%,SSW,6ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Mostly Cloudy
7,5:31 AM,77ʡF,74ʡF,90ʡ%,SSW,7ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Cloudy
8,5:53 AM,77ʡF,75ʡF,94ʡ%,SSW,6ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy
9,6:53 AM,79ʡF,75ʡF,88ʡ%,SSW,9ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Mostly Cloudy
10,7:29 AM,81ʡF,74ʡF,79ʡ%,SSW,12ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Partly Cloudy
11,7:53 AM,82ʡF,73ʡF,74ʡ%,S,12ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Partly Cloudy
12,8:53 AM,84ʡF,72ʡF,67ʡ%,SW,12ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Partly Cloudy
13,9:53 AM,88ʡF,71ʡF,57ʡ%,SW,9ʡmph,18ʡmph,29.44ʡin,0.0ʡin,Partly Cloudy
14,10:53 AM,92ʡF,70ʡF,48ʡ%,SSW,13ʡmph,21ʡmph,29.43ʡin,0.0ʡin,Partly Cloudy
15,11:53 AM,94ʡF,68ʡF,43ʡ%,SSE,12ʡmph,17ʡmph,29.42ʡin,0.0ʡin,Partly Cloudy
16,12:53 PM,96ʡF,67ʡF,38ʡ%,S,9ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Partly Cloudy
17,1:53 PM,96ʡF,66ʡF,37ʡ%,VAR,5ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Mostly Cloudy
18,2:53 PM,98ʡF,65ʡF,34ʡ%,SSW,7ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy
19,3:53 PM,100ʡF,65ʡF,32ʡ%,ESE,13ʡmph,20ʡmph,29.32ʡin,0.0ʡin,Mostly Cloudy
20,4:53 PM,100ʡF,64ʡF,31ʡ%,SE,9ʡmph,18ʡmph,29.31ʡin,0.0ʡin,Partly Cloudy
21,5:53 PM,97ʡF,63ʡF,32ʡ%,S,9ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Partly Cloudy
22,6:34 PM,89ʡF,72ʡF,57ʡ%,E,14ʡmph,25ʡmph,29.32ʡin,0.0ʡin,Mostly Cloudy
23,6:53 PM,91ʡF,71ʡF,52ʡ%,E,8ʡmph,0ʡmph,29.32ʡin,0.0ʡin,Mostly Cloudy
24,7:53 PM,91ʡF,68ʡF,47ʡ%,S,13ʡmph,23ʡmph,29.33ʡin,0.0ʡin,Mostly Cloudy
25,8:53 PM,87ʡF,72ʡF,61ʡ%,S,13ʡmph,26ʡmph,29.35ʡin,0.0ʡin,Partly Cloudy
26,9:53 PM,85ʡF,70ʡF,61ʡ%,S,14ʡmph,28ʡmph,29.39ʡin,0.0ʡin,Fair
27,10:53 PM,82ʡF,70ʡF,67ʡ%,S,12ʡmph,0ʡmph,29.40ʡin,0.0ʡin,Fair
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
