,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:53 PM,52ʡF,39ʡF,61ʡ%,CALM,0ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Fair
1,12:53 AM,46ʡF,41ʡF,83ʡ%,CALM,0ʡmph,0ʡmph,29.51ʡin,0.0ʡin,Fair
2,1:53 AM,44ʡF,40ʡF,85ʡ%,CALM,0ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Fair
3,2:53 AM,44ʡF,40ʡF,85ʡ%,SW,3ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Fair
4,3:53 AM,45ʡF,40ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair
5,4:53 AM,42ʡF,38ʡF,85ʡ%,CALM,0ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair
6,5:53 AM,46ʡF,37ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Fair
7,6:53 AM,41ʡF,38ʡF,89ʡ%,CALM,0ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Fair
8,7:53 AM,53ʡF,42ʡF,66ʡ%,CALM,0ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Fair
9,8:53 AM,66ʡF,44ʡF,45ʡ%,CALM,0ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Fair
10,9:53 AM,78ʡF,32ʡF,19ʡ%,SSW,16ʡmph,24ʡmph,29.50ʡin,0.0ʡin,Fair
11,10:53 AM,82ʡF,30ʡF,15ʡ%,SSW,15ʡmph,30ʡmph,29.49ʡin,0.0ʡin,Fair
12,11:53 AM,83ʡF,32ʡF,16ʡ%,SSW,20ʡmph,30ʡmph,29.47ʡin,0.0ʡin,Fair
13,12:53 PM,85ʡF,36ʡF,17ʡ%,SW,17ʡmph,30ʡmph,29.45ʡin,0.0ʡin,Fair
14,1:53 PM,86ʡF,37ʡF,18ʡ%,SSW,16ʡmph,24ʡmph,29.41ʡin,0.0ʡin,Fair
15,2:53 PM,88ʡF,37ʡF,16ʡ%,S,13ʡmph,23ʡmph,29.38ʡin,0.0ʡin,Fair
16,3:53 PM,87ʡF,35ʡF,16ʡ%,S,18ʡmph,25ʡmph,29.36ʡin,0.0ʡin,Fair
17,4:53 PM,87ʡF,34ʡF,15ʡ%,S,18ʡmph,26ʡmph,29.35ʡin,0.0ʡin,Fair
18,5:53 PM,84ʡF,34ʡF,17ʡ%,S,14ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Fair
19,6:53 PM,74ʡF,38ʡF,27ʡ%,SSE,7ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Fair
20,7:53 PM,64ʡF,41ʡF,43ʡ%,S,8ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Fair
21,8:53 PM,69ʡF,44ʡF,40ʡ%,S,12ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Fair
22,9:53 PM,67ʡF,43ʡF,42ʡ%,S,12ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Fair
23,10:53 PM,63ʡF,42ʡF,46ʡ%,S,10ʡmph,0ʡmph,29.42ʡin,0.0ʡin,Fair
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
