,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:48 AM,21ʡF,16ʡF,80ʡ%,NNW,21ʡmph,30ʡmph,29.83ʡin,0.0ʡin,Mostly Cloudy / Windy
1,12:53 AM,22ʡF,15ʡF,75ʡ%,NNW,17ʡmph,30ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy
2,1:53 AM,22ʡF,16ʡF,78ʡ%,NNW,14ʡmph,23ʡmph,29.84ʡin,0.0ʡin,Mostly Cloudy
3,2:53 AM,22ʡF,15ʡF,75ʡ%,NNW,17ʡmph,29ʡmph,29.86ʡin,0.0ʡin,Cloudy
4,3:53 AM,22ʡF,15ʡF,75ʡ%,NNW,14ʡmph,26ʡmph,29.88ʡin,0.0ʡin,Mostly Cloudy
5,4:53 AM,22ʡF,15ʡF,75ʡ%,NNW,14ʡmph,21ʡmph,29.91ʡin,0.0ʡin,Cloudy
6,5:53 AM,23ʡF,17ʡF,78ʡ%,NNW,8ʡmph,0ʡmph,29.92ʡin,0.0ʡin,Cloudy
7,6:14 AM,23ʡF,16ʡF,74ʡ%,NNW,15ʡmph,25ʡmph,29.93ʡin,0.0ʡin,Cloudy
8,6:53 AM,24ʡF,17ʡF,75ʡ%,NNW,14ʡmph,24ʡmph,29.95ʡin,0.0ʡin,Cloudy
9,7:24 AM,24ʡF,17ʡF,75ʡ%,NNW,14ʡmph,25ʡmph,29.95ʡin,0.0ʡin,Cloudy
10,7:53 AM,24ʡF,17ʡF,75ʡ%,NNW,13ʡmph,26ʡmph,29.96ʡin,0.0ʡin,Cloudy
11,8:53 AM,25ʡF,19ʡF,78ʡ%,NNW,15ʡmph,26ʡmph,29.97ʡin,0.0ʡin,Cloudy
12,9:53 AM,27ʡF,20ʡF,75ʡ%,NNW,17ʡmph,33ʡmph,29.99ʡin,0.0ʡin,Cloudy
13,10:22 AM,27ʡF,20ʡF,75ʡ%,NNW,16ʡmph,29ʡmph,30.00ʡin,0.0ʡin,Mostly Cloudy
14,10:53 AM,29ʡF,21ʡF,72ʡ%,N,22ʡmph,33ʡmph,30.02ʡin,0.0ʡin,Mostly Cloudy / Windy
15,11:53 AM,32ʡF,24ʡF,73ʡ%,NNW,20ʡmph,30ʡmph,30.00ʡin,0.0ʡin,Partly Cloudy
16,12:53 PM,36ʡF,27ʡF,70ʡ%,NNW,13ʡmph,25ʡmph,29.99ʡin,0.0ʡin,Partly Cloudy
17,1:53 PM,37ʡF,27ʡF,67ʡ%,NW,16ʡmph,25ʡmph,29.98ʡin,0.0ʡin,Partly Cloudy
18,2:53 PM,40ʡF,28ʡF,63ʡ%,NNW,17ʡmph,25ʡmph,29.98ʡin,0.0ʡin,Fair
19,3:53 PM,41ʡF,26ʡF,55ʡ%,NNW,21ʡmph,30ʡmph,29.98ʡin,0.0ʡin,Fair / Windy
20,4:53 PM,40ʡF,25ʡF,55ʡ%,NNW,21ʡmph,32ʡmph,29.99ʡin,0.0ʡin,Fair / Windy
21,5:53 PM,38ʡF,24ʡF,57ʡ%,NNW,15ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
22,6:53 PM,35ʡF,24ʡF,64ʡ%,NNW,13ʡmph,23ʡmph,30.03ʡin,0.0ʡin,Fair
23,7:53 PM,34ʡF,24ʡF,67ʡ%,NNW,12ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
24,8:53 PM,33ʡF,23ʡF,66ʡ%,NNW,12ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair
25,9:53 PM,31ʡF,23ʡF,72ʡ%,NNW,8ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair
26,10:53 PM,30ʡF,23ʡF,75ʡ%,NNW,7ʡmph,0ʡmph,30.05ʡin,0.0ʡin,Fair
27,11:53 PM,30ʡF,23ʡF,75ʡ%,NNW,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
