,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:22 PM,73ʡF,69ʡF,87ʡ%,S,14ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Mostly Cloudy
1,11:53 PM,73ʡF,69ʡF,87ʡ%,S,15ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Mostly Cloudy
2,12:38 AM,73ʡF,69ʡF,87ʡ%,S,13ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy
3,12:53 AM,73ʡF,69ʡF,87ʡ%,S,15ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Mostly Cloudy
4,1:53 AM,73ʡF,70ʡF,90ʡ%,S,12ʡmph,24ʡmph,29.33ʡin,0.0ʡin,Mostly Cloudy
5,2:24 AM,73ʡF,70ʡF,90ʡ%,S,16ʡmph,24ʡmph,29.31ʡin,0.0ʡin,Mostly Cloudy
6,2:53 AM,73ʡF,71ʡF,93ʡ%,S,15ʡmph,22ʡmph,29.30ʡin,0.0ʡin,Mostly Cloudy
7,3:17 AM,73ʡF,71ʡF,93ʡ%,S,10ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Cloudy
8,3:53 AM,74ʡF,71ʡF,91ʡ%,SSE,10ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Cloudy
9,4:39 AM,73ʡF,71ʡF,93ʡ%,S,8ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Mostly Cloudy
10,4:53 AM,73ʡF,71ʡF,93ʡ%,S,9ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Mostly Cloudy
11,5:16 AM,73ʡF,71ʡF,93ʡ%,S,10ʡmph,0ʡmph,29.28ʡin,0.0ʡin,Mostly Cloudy
12,5:53 AM,74ʡF,72ʡF,93ʡ%,S,8ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Cloudy
13,6:53 AM,74ʡF,72ʡF,93ʡ%,SSE,13ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Light Rain
14,7:33 AM,74ʡF,73ʡF,97ʡ%,SSE,16ʡmph,23ʡmph,29.26ʡin,0.0ʡin,Cloudy
15,7:53 AM,75ʡF,73ʡF,94ʡ%,S,18ʡmph,26ʡmph,29.27ʡin,0.0ʡin,Cloudy
16,8:53 AM,76ʡF,73ʡF,91ʡ%,S,22ʡmph,30ʡmph,29.27ʡin,0.0ʡin,Cloudy / Windy
17,9:18 AM,75ʡF,74ʡF,96ʡ%,S,17ʡmph,35ʡmph,29.27ʡin,0.0ʡin,Light Rain
18,9:39 AM,76ʡF,75ʡF,97ʡ%,S,17ʡmph,30ʡmph,29.26ʡin,0.0ʡin,Cloudy
19,9:53 AM,77ʡF,75ʡF,94ʡ%,S,20ʡmph,31ʡmph,29.26ʡin,0.0ʡin,Cloudy
20,10:53 AM,80ʡF,73ʡF,79ʡ%,S,21ʡmph,36ʡmph,29.24ʡin,0.0ʡin,Cloudy / Windy
21,11:53 AM,80ʡF,74ʡF,81ʡ%,S,21ʡmph,31ʡmph,29.22ʡin,0.0ʡin,Cloudy / Windy
22,12:53 PM,81ʡF,73ʡF,77ʡ%,S,18ʡmph,28ʡmph,29.18ʡin,0.0ʡin,Cloudy
23,1:53 PM,83ʡF,72ʡF,69ʡ%,S,20ʡmph,33ʡmph,29.16ʡin,0.0ʡin,Cloudy
24,2:53 PM,85ʡF,72ʡF,65ʡ%,S,20ʡmph,30ʡmph,29.15ʡin,0.0ʡin,Mostly Cloudy
25,3:53 PM,85ʡF,71ʡF,63ʡ%,S,16ʡmph,28ʡmph,29.14ʡin,0.0ʡin,Mostly Cloudy
26,4:53 PM,84ʡF,70ʡF,63ʡ%,S,15ʡmph,0ʡmph,29.15ʡin,0.0ʡin,Partly Cloudy
27,5:53 PM,81ʡF,72ʡF,74ʡ%,S,13ʡmph,0ʡmph,29.15ʡin,0.0ʡin,Partly Cloudy
28,6:12 PM,80ʡF,72ʡF,76ʡ%,SSE,12ʡmph,0ʡmph,29.15ʡin,0.0ʡin,Thunder
29,6:53 PM,66ʡF,61ʡF,84ʡ%,VAR,7ʡmph,26ʡmph,29.23ʡin,0.0ʡin,Light Rain with Thunder
30,6:58 PM,65ʡF,62ʡF,90ʡ%,NNW,5ʡmph,26ʡmph,29.25ʡin,0.0ʡin,Heavy T-Storm
31,7:07 PM,64ʡF,63ʡF,96ʡ%,NNW,5ʡmph,26ʡmph,29.26ʡin,0.2ʡin,Heavy T-Storm
32,7:22 PM,64ʡF,62ʡF,93ʡ%,E,3ʡmph,0ʡmph,29.25ʡin,0.4ʡin,T-Storm
33,7:53 PM,63ʡF,60ʡF,90ʡ%,N,5ʡmph,0ʡmph,29.27ʡin,0.4ʡin,Partly Cloudy
34,8:53 PM,62ʡF,61ʡF,96ʡ%,NW,6ʡmph,0ʡmph,29.31ʡin,0.0ʡin,Mostly Cloudy
35,9:53 PM,59ʡF,52ʡF,78ʡ%,N,3ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy
36,10:53 PM,59ʡF,55ʡF,87ʡ%,NNW,6ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Mostly Cloudy
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
