,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:53 AM,39ʡF,20ʡF,46ʡ%,NNW,16ʡmph,25ʡmph,29.78ʡin,0.0ʡin,Fair
1,1:53 AM,38ʡF,20ʡF,48ʡ%,NNW,15ʡmph,24ʡmph,29.78ʡin,0.0ʡin,Fair
2,2:53 AM,37ʡF,21ʡF,52ʡ%,NNW,17ʡmph,25ʡmph,29.79ʡin,0.0ʡin,Fair
3,3:53 AM,36ʡF,21ʡF,55ʡ%,N,22ʡmph,28ʡmph,29.81ʡin,0.0ʡin,Fair / Windy
4,4:53 AM,35ʡF,21ʡF,57ʡ%,N,15ʡmph,0ʡmph,29.84ʡin,0.0ʡin,Fair
5,5:53 AM,34ʡF,21ʡF,59ʡ%,N,16ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Fair
6,6:53 AM,33ʡF,22ʡF,64ʡ%,N,16ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Fair
7,7:53 AM,34ʡF,23ʡF,64ʡ%,N,14ʡmph,22ʡmph,29.92ʡin,0.0ʡin,Fair
8,8:53 AM,39ʡF,23ʡF,53ʡ%,N,17ʡmph,25ʡmph,29.94ʡin,0.0ʡin,Partly Cloudy
9,9:53 AM,40ʡF,23ʡF,51ʡ%,N,21ʡmph,0ʡmph,29.95ʡin,0.0ʡin,Partly Cloudy / Windy
10,10:53 AM,44ʡF,23ʡF,43ʡ%,N,17ʡmph,26ʡmph,29.96ʡin,0.0ʡin,Partly Cloudy
11,11:53 AM,48ʡF,25ʡF,41ʡ%,NNW,14ʡmph,23ʡmph,29.95ʡin,0.0ʡin,Fair
12,12:53 PM,49ʡF,22ʡF,35ʡ%,N,21ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy / Windy
13,1:53 PM,51ʡF,23ʡF,33ʡ%,N,14ʡmph,29ʡmph,29.88ʡin,0.0ʡin,Partly Cloudy
14,2:53 PM,52ʡF,23ʡF,32ʡ%,NNE,14ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Fair
15,3:53 PM,52ʡF,20ʡF,28ʡ%,N,16ʡmph,0ʡmph,29.85ʡin,0.0ʡin,Partly Cloudy
16,4:53 PM,51ʡF,20ʡF,29ʡ%,N,16ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy
17,5:53 PM,48ʡF,20ʡF,33ʡ%,NNE,10ʡmph,0ʡmph,29.86ʡin,0.0ʡin,Partly Cloudy
18,6:53 PM,45ʡF,23ʡF,42ʡ%,NE,7ʡmph,0ʡmph,29.87ʡin,0.0ʡin,Partly Cloudy
19,7:53 PM,46ʡF,22ʡF,39ʡ%,ENE,5ʡmph,0ʡmph,29.89ʡin,0.0ʡin,Partly Cloudy
20,8:53 PM,40ʡF,24ʡF,53ʡ%,NE,5ʡmph,0ʡmph,29.90ʡin,0.0ʡin,Partly Cloudy
21,9:53 PM,37ʡF,25ʡF,62ʡ%,CALM,0ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
22,10:53 PM,31ʡF,26ʡF,82ʡ%,CALM,0ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Partly Cloudy
23,11:53 PM,28ʡF,24ʡF,85ʡ%,CALM,0ʡmph,0ʡmph,29.91ʡin,0.0ʡin,Fair
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
