,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,11:18 PM,62ʡF,60ʡF,93ʡ%,NNW,22ʡmph,40ʡmph,29.24ʡin,0.3ʡin,Heavy T-Storm / Windy
1,11:53 PM,63ʡF,61ʡF,93ʡ%,NNE,10ʡmph,0ʡmph,29.28ʡin,0.4ʡin,Light Rain with Thunder
2,12:16 AM,63ʡF,60ʡF,90ʡ%,NE,6ʡmph,0ʡmph,29.30ʡin,0.0ʡin,Light Rain
3,12:53 AM,62ʡF,61ʡF,96ʡ%,CALM,0ʡmph,0ʡmph,29.32ʡin,0.1ʡin,Rain
4,1:53 AM,62ʡF,61ʡF,96ʡ%,E,8ʡmph,0ʡmph,29.21ʡin,0.1ʡin,Light Rain
5,2:53 AM,62ʡF,61ʡF,96ʡ%,ESE,8ʡmph,0ʡmph,29.11ʡin,0.0ʡin,Cloudy
6,3:27 AM,62ʡF,60ʡF,93ʡ%,WNW,13ʡmph,28ʡmph,29.20ʡin,0.0ʡin,Mostly Cloudy
7,3:41 AM,62ʡF,61ʡF,96ʡ%,W,9ʡmph,20ʡmph,29.22ʡin,0.0ʡin,Cloudy
8,3:53 AM,62ʡF,61ʡF,96ʡ%,WSW,8ʡmph,0ʡmph,29.23ʡin,0.0ʡin,Cloudy
9,4:53 AM,62ʡF,60ʡF,93ʡ%,W,6ʡmph,0ʡmph,29.21ʡin,0.0ʡin,Partly Cloudy
10,5:53 AM,63ʡF,60ʡF,90ʡ%,NW,5ʡmph,0ʡmph,29.23ʡin,0.0ʡin,Mostly Cloudy
11,6:53 AM,63ʡF,59ʡF,87ʡ%,WNW,8ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Mostly Cloudy
12,7:53 AM,64ʡF,58ʡF,80ʡ%,WNW,10ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Mostly Cloudy
13,8:53 AM,67ʡF,58ʡF,73ʡ%,NW,12ʡmph,21ʡmph,29.30ʡin,0.0ʡin,Haze
14,9:53 AM,70ʡF,57ʡF,63ʡ%,NNW,10ʡmph,21ʡmph,29.30ʡin,0.0ʡin,Partly Cloudy
15,10:53 AM,72ʡF,54ʡF,53ʡ%,NW,16ʡmph,25ʡmph,29.30ʡin,0.0ʡin,Fair
16,11:53 AM,75ʡF,52ʡF,44ʡ%,NNW,16ʡmph,29ʡmph,29.31ʡin,0.0ʡin,Fair
17,12:53 PM,78ʡF,52ʡF,40ʡ%,NW,12ʡmph,23ʡmph,29.31ʡin,0.0ʡin,Fair
18,1:53 PM,80ʡF,50ʡF,35ʡ%,NW,10ʡmph,22ʡmph,29.30ʡin,0.0ʡin,Fair
19,2:53 PM,82ʡF,51ʡF,34ʡ%,NNW,10ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Fair
20,3:53 PM,82ʡF,49ʡF,31ʡ%,VAR,7ʡmph,0ʡmph,29.26ʡin,0.0ʡin,Fair
21,4:53 PM,82ʡF,48ʡF,30ʡ%,NNW,9ʡmph,17ʡmph,29.26ʡin,0.0ʡin,Fair
22,5:53 PM,81ʡF,46ʡF,29ʡ%,NNW,8ʡmph,0ʡmph,29.27ʡin,0.0ʡin,Fair
23,6:53 PM,75ʡF,53ʡF,46ʡ%,NNW,5ʡmph,0ʡmph,29.29ʡin,0.0ʡin,Fair
24,7:53 PM,65ʡF,55ʡF,70ʡ%,CALM,0ʡmph,0ʡmph,29.32ʡin,0.0ʡin,Fair
25,8:53 PM,63ʡF,55ʡF,75ʡ%,CALM,0ʡmph,0ʡmph,29.35ʡin,0.0ʡin,Fair
26,9:53 PM,63ʡF,59ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Fair
27,10:53 PM,60ʡF,57ʡF,90ʡ%,CALM,0ʡmph,0ʡmph,29.38ʡin,0.0ʡin,Fair
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
