,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:53 AM,66ʡF,65ʡF,96ʡ%,SW,5ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy
1,1:53 AM,66ʡF,64ʡF,93ʡ%,SW,7ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy
2,2:53 AM,66ʡF,64ʡF,93ʡ%,SW,8ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy
3,3:53 AM,65ʡF,63ʡF,93ʡ%,SW,7ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Cloudy
4,4:53 AM,65ʡF,63ʡF,93ʡ%,SSW,6ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Cloudy
5,5:53 AM,65ʡF,63ʡF,93ʡ%,W,5ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
6,6:38 AM,64ʡF,62ʡF,93ʡ%,NW,8ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
7,6:53 AM,64ʡF,62ʡF,93ʡ%,NNW,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy
8,7:28 AM,63ʡF,60ʡF,90ʡ%,NNW,7ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Mostly Cloudy
9,7:53 AM,64ʡF,61ʡF,90ʡ%,NNW,8ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
10,8:53 AM,58ʡF,47ʡF,67ʡ%,NNW,16ʡmph,25ʡmph,29.77ʡin,0.0ʡin,Cloudy
11,9:53 AM,58ʡF,47ʡF,67ʡ%,N,15ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Cloudy
12,10:53 AM,59ʡF,47ʡF,64ʡ%,N,13ʡmph,0ʡmph,29.81ʡin,0.0ʡin,Cloudy
13,11:53 AM,60ʡF,47ʡF,62ʡ%,NNE,15ʡmph,0ʡmph,29.80ʡin,0.0ʡin,Cloudy
14,12:53 PM,60ʡF,47ʡF,62ʡ%,N,15ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Cloudy
15,1:53 PM,60ʡF,47ʡF,62ʡ%,NNE,15ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Cloudy
16,2:53 PM,60ʡF,45ʡF,57ʡ%,NNE,13ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
17,3:53 PM,59ʡF,45ʡF,60ʡ%,NNE,13ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Cloudy
18,4:53 PM,58ʡF,44ʡF,60ʡ%,NNE,9ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Cloudy
19,5:53 PM,56ʡF,44ʡF,64ʡ%,NE,9ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Cloudy
20,6:53 PM,55ʡF,43ʡF,64ʡ%,NNE,10ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Cloudy
21,7:53 PM,56ʡF,43ʡF,62ʡ%,NNE,10ʡmph,0ʡmph,29.79ʡin,0.0ʡin,Cloudy
22,8:53 PM,55ʡF,42ʡF,62ʡ%,N,9ʡmph,0ʡmph,29.79ʡin,0.0ʡin,Cloudy
23,9:53 PM,54ʡF,43ʡF,66ʡ%,NNE,15ʡmph,0ʡmph,29.78ʡin,0.0ʡin,Cloudy
24,10:53 PM,54ʡF,42ʡF,64ʡ%,NNE,12ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Cloudy
25,11:39 PM,54ʡF,43ʡF,66ʡ%,N,10ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Cloudy
26,11:53 PM,54ʡF,42ʡF,64ʡ%,NNE,9ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Cloudy
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
