,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
0,12:53 AM,30ʡF,30ʡF,100ʡ%,N,14ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Cloudy
1,1:53 AM,30ʡF,29ʡF,96ʡ%,N,15ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Cloudy
2,2:50 AM,30ʡF,28ʡF,93ʡ%,N,15ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Wintry Mix
3,2:53 AM,30ʡF,30ʡF,100ʡ%,N,17ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Wintry Mix
4,3:53 AM,30ʡF,29ʡF,96ʡ%,N,15ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Wintry Mix
5,4:53 AM,30ʡF,29ʡF,96ʡ%,N,16ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Wintry Mix
6,5:30 AM,30ʡF,29ʡF,96ʡ%,N,15ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Wintry Mix
7,5:53 AM,30ʡF,29ʡF,96ʡ%,N,13ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Wintry Mix
8,6:20 AM,30ʡF,29ʡF,96ʡ%,N,14ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Cloudy
9,6:53 AM,30ʡF,29ʡF,96ʡ%,N,17ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Cloudy
10,7:53 AM,30ʡF,29ʡF,96ʡ%,N,13ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy
11,8:53 AM,30ʡF,29ʡF,96ʡ%,N,15ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Wintry Mix
12,9:12 AM,30ʡF,30ʡF,100ʡ%,N,12ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Wintry Mix
13,9:49 AM,30ʡF,28ʡF,93ʡ%,N,16ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Wintry Mix
14,9:53 AM,31ʡF,30ʡF,96ʡ%,N,20ʡmph,24ʡmph,29.72ʡin,0.0ʡin,Wintry Mix
15,10:37 AM,31ʡF,30ʡF,96ʡ%,N,14ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Wintry Mix
16,10:45 AM,31ʡF,30ʡF,96ʡ%,N,14ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Light Freezing Rain
17,10:53 AM,31ʡF,30ʡF,96ʡ%,N,18ʡmph,23ʡmph,29.74ʡin,0.0ʡin,Light Freezing Rain
18,11:53 AM,31ʡF,30ʡF,96ʡ%,N,16ʡmph,23ʡmph,29.74ʡin,0.0ʡin,Wintry Mix
19,12:09 PM,31ʡF,30ʡF,96ʡ%,NNW,10ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Cloudy
20,12:53 PM,31ʡF,30ʡF,96ʡ%,N,13ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
21,1:32 PM,31ʡF,30ʡF,96ʡ%,N,16ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Cloudy
22,1:53 PM,32ʡF,31ʡF,96ʡ%,N,14ʡmph,23ʡmph,29.69ʡin,0.0ʡin,Cloudy
23,2:23 PM,32ʡF,31ʡF,96ʡ%,NNW,13ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Cloudy
24,2:53 PM,33ʡF,31ʡF,92ʡ%,N,16ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Cloudy
25,3:53 PM,32ʡF,30ʡF,92ʡ%,NNW,18ʡmph,24ʡmph,29.68ʡin,0.0ʡin,Cloudy
26,4:53 PM,31ʡF,29ʡF,92ʡ%,N,17ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Cloudy
27,5:53 PM,31ʡF,28ʡF,89ʡ%,N,14ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
28,6:26 PM,31ʡF,29ʡF,92ʡ%,N,13ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
29,6:53 PM,31ʡF,29ʡF,92ʡ%,N,15ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy
30,7:53 PM,31ʡF,28ʡF,89ʡ%,N,15ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Cloudy
31,8:08 PM,31ʡF,28ʡF,89ʡ%,N,15ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Cloudy
32,8:24 PM,31ʡF,28ʡF,89ʡ%,N,16ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
33,8:53 PM,31ʡF,28ʡF,89ʡ%,N,13ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
34,9:04 PM,31ʡF,28ʡF,89ʡ%,N,13ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
35,9:24 PM,31ʡF,28ʡF,89ʡ%,N,14ʡmph,23ʡmph,29.74ʡin,0.0ʡin,Mostly Cloudy
36,9:53 PM,30ʡF,27ʡF,88ʡ%,N,18ʡmph,22ʡmph,29.75ʡin,0.0ʡin,Cloudy
37,10:53 PM,31ʡF,28ʡF,89ʡ%,N,14ʡmph,0ʡmph,29.74ʡin,0.0ʡin,Cloudy
38,11:53 PM,30ʡF,27ʡF,88ʡ%,N,14ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Cloudy
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
